Campaign_ID,Channel,Segment,Start_Date,End_Date,Spend,Clicks,Conversions,Revenue
1,Display,A,2023-04-13,2023-05-03,4913.0,963,113,4170.0
2,Display,C,2023-12-15,2024-01-08,4248.0,1834,263,1699.0
3,Display,C,2023-09-28,2023-10-13,1163.0,1943,236,6088.0
4,Search,B,2023-04-17,2023-05-14,2498.0,588,121,1190.0
5,Search,B,2023-03-13,2023-03-21,3945.0,1028,108,1980.0
6,Search,A,2023-07-08,2023-08-03,4243.0,1763,162,3975.0
7,Email,C,2023-01-21,2023-02-11,1995.0,650,203,7102.0
8,Display,C,2023-04-13,2023-04-26,3804.0,437,172,2184.0
9,Search,C,2023-05-02,2023-05-20,4263.0,971,217,4327.0
10,Search,A,2023-08-03,2023-08-17,2353.0,740,178,4394.0
11,Email,A,2023-11-27,2023-12-18,1791.0,1902,170,9319.0
12,Search,B,2023-03-29,2023-04-07,4081.0,572,77,2816.0
13,Email,A,2023-04-10,2023-04-30,3957.0,250,298,6854.0
14,Social Media,C,2023-12-26,2024-01-18,2136.0,1538,286,7709.0
15,Search,C,2023-06-01,2023-06-11,4196.0,1421,144,1569.0
16,Social Media,A,2023-05-11,2023-06-04,3499.0,1734,204,6442.0
17,Email,C,2023-05-30,2023-06-13,3652.0,362,137,2895.0
18,Display,C,2023-11-05,2023-11-15,1198.0,1887,42,3733.0
19,Search,A,2023-09-15,2023-09-23,2660.0,243,185,4863.0
20,Email,A,2023-12-10,2023-12-22,4597.0,445,31,8455.0
21,Display,C,2023-10-21,2023-11-18,1354.0,723,247,5014.0
22,Display,C,2023-07-11,2023-07-27,3974.0,1116,167,2686.0
23,Social Media,C,2023-10-04,2023-10-14,2207.0,1695,47,4009.0
24,Email,B,2023-06-10,2023-07-08,3277.0,980,239,8806.0
25,Display,B,2023-11-10,2023-12-04,2233.0,101,60,1154.0
26,Search,B,2023-01-22,2023-02-09,4010.0,996,273,2409.0
27,Search,A,2023-09-10,2023-09-18,702.0,1427,292,1784.0
28,Social Media,B,2023-08-24,2023-09-09,3755.0,353,36,9096.0
29,Display,A,2023-12-11,2023-12-21,4718.0,1775,235,8560.0
30,Email,A,2023-02-18,2023-03-10,4996.0,552,286,8343.0
31,Search,B,2023-02-28,2023-03-22,1266.0,1160,295,8206.0
32,Display,B,2023-06-19,2023-07-10,4889.0,1283,106,6596.0
33,Display,B,2023-07-07,2023-07-21,2827.0,1114,293,6801.0
34,Social Media,C,2023-09-28,2023-10-18,3431.0,108,156,3806.0
35,Search,B,2023-07-09,2023-08-07,697.0,1356,13,1537.0
36,Search,C,2023-06-24,2023-07-08,2430.0,1222,44,6986.0
37,Email,A,2023-02-20,2023-03-19,4082.0,1782,201,2841.0
38,Search,C,2023-12-30,2024-01-21,1108.0,915,58,9716.0
39,Email,B,2023-02-24,2023-03-15,3772.0,307,26,7971.0
40,Search,A,2023-09-01,2023-09-25,1647.0,1254,181,6625.0
41,Social Media,A,2023-11-16,2023-12-07,4782.0,503,229,3950.0
42,Search,A,2023-05-11,2023-06-07,3897.0,251,167,8992.0
43,Email,C,2023-11-03,2023-11-22,3011.0,153,55,5780.0
44,Email,B,2023-05-15,2023-05-30,2294.0,1243,15,3368.0
45,Social Media,A,2023-01-21,2023-02-11,1159.0,1796,108,7655.0
46,Search,A,2023-11-25,2023-12-14,3311.0,727,242,9173.0
47,Search,A,2023-06-16,2023-06-23,1869.0,686,46,5495.0
48,Social Media,C,2023-10-01,2023-10-14,2486.0,1748,289,7002.0
49,Search,C,2023-03-30,2023-04-14,646.0,1543,190,7614.0
50,Search,B,2023-11-12,2023-11-19,3719.0,1545,104,6919.0
